# גיבוי מצב הרשימה ב-9.9.2026, לפני כל שינוי. שדות: פריט|כמות|קטגוריה|ארוחה|מי מביא|לקנות/מהבית|נקנה
מגבונים|2 חבילות|dispo||moscow|buy|0
סבון כלים|1|dispo||yavne|buy|0
ספוגים|2|dispo||rehovot|buy|0
טבליות למדיח|1|dispo||rg|buy|0
נרות חג ומעמד|1|gear||yavne|buy|0
פחמים|2–3 שקיות|gear||rehovot|buy|0
חומר הדלקה|1|gear||rg|buy|0
קרח לערב המנגל|4 שקיות|gear||oryam|buy|0
שיפודים למנגל|1 חבילה|gear||moscow|buy|0
מלקחיים ומברשת למנגל||gear||yavne|home|0
קרח לכל השהייה|8–10 שקיות|gear||rehovot|buy|0
סכין חדה וקרש חיתוך||gear||rg|home|0
פותחן ומחלץ פקקים||gear||oryam|home|0
גפרורים או מצית||gear||moscow|buy|0
צידנית ושקיות קירור||gear||yavne|home|0
רמקול בלוטות׳|1 מספיק|gear||rehovot|home|0
כבלים ומטענים||gear||rg|home|0
ערכת עזרה ראשונה||gear||oryam|home|0
תרופות בסיסיות (אקמול, נורופן)||gear||moscow|home|0
קרם הגנה||gear||yavne|home|0
דוחה יתושים||gear||rehovot|buy|0
מגבות לבריכה|כל משפחה לעצמה|gear||rg|home|0
אביזרי בריכה לילדים||gear||oryam|home|0
משחקי קופסה וקלפים||gear||moscow|home|0
לברר אם יש סוכה בווילה||task|||home|0
לברר מה הווילה מספקת — מגבות, נייר טואלט, כלים||task|||home|0
לוודא שיש מנגל בווילה — או להביא||task|||home|0
שעת כניסה ושעת יציאה מהווילה||task|||home|0
לסכם איך מחלקים את עלויות הקניות||task|||home|0
מי אוסף את המפתח ומתי||task|||home|0
אלרגיות והעדפות אוכל של הילדים||task|||home|0
